Id,"Project Name",Subtype,"Current Status","Capacity MW","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District,,
320,"Gelex 1 Nha may dien gio Gelex 1",Wind,"Under Construction",30,,Vietnam,"Cong ty co phan nang luong Gelex Quang Tri",,,,," ",Vietnam,"Quang Tri",,
321,"Gelex 2 Nha may dien gio Gelex 2",Wind,"Under Construction",30,,Vietnam,"Cong ty co phan nang luong Gelex Quang Tri",,,,," ",Vietnam,"Quang Tri",,
322,"Gelex 3 Nha may dien gio Gelex 3",Wind,"Under Construction",30,,Vietnam,"Cong ty co phan nang luong Gelex Quang Tri",,,,," ",Vietnam,"Quang Tri",,
323,"Gelex Ninh Thuan Nha may dien mat troi Gelex Ninh Thuan",Solar,Operational,50,2019,"Vietnam; Thailand","Vietnam Gelex CTCP Thiet bi dien Viet Nam Vietnam & Thailand PSTC Thailand",,,," ",Vietnam,"Ninh Thuan","Thuan Nam",,
324,"Gheco One",Coal,Operational,660,2012,Thailand,"Glow Energy Thailand",,,," ",Thailand,Rayong,"Muang Rayong",,
325,"Gio Thanh 1 nha may dien mat troi Gio Thanh 1",Solar,Operational,50,2020,Vietnam,"Gio Thanh Cty CP Nang luong Gio Thanh"," Cty CP Seco",,,Vietnam,"Power Construction Consulting JSC 2",Vietnam,"Quang Tri",,
326,"Gio Thanh 2 nha may dien mat troi Gio Thanh 2",Solar,Operational,50,2020,Vietnam,"Gio Thanh Cty CP Nang luong Gio Thanh"," Cty CP Seco",,,Vietnam,"Power Construction Company JSC 2",Vietnam,"Quang Tri",,
327,"Global Purify Power",Solar,"Under Construction",225,,Cambodia,"Global Purify Power Cambodia",,,," ",Cambodia,"Kampong Speu","Samraong Tong",,
328,"Glow Demin",Gas,Operational,124,1998,Thailand,"GLOW Group",,,," ",Thailand,Rayong,"Muang Rayong",,
329,"Glow Energy Phase 2 Power Plant",Gas,Operational,281,1996,Thailand,"GLOW Group",,,," ",Thailand,Rayong,"Muang Rayong",,
330,"Glow Energy Phase 5 Power Plant",Gas,Operational,412,2011,Thailand,"GLOW Group",,,," ",Thailand,Rayong,"Muang Rayong",,
331,"Glow IPP",Gas,Operational,713,2003,Thailand,"GLOW Group",,,," ",Thailand,"Chon Buri","Si Racha",,
332,"Glow SPP 11",Gas,Operational,272,2015,Thailand,"GLOW Group",,,," ",Thailand,Rayong,"Pluak Daeng",,
333,"Glow Unit 1",Coal,Operational,222,2010,Thailand,"Glow Energy Thailand",,,," ",Thailand,Rayong,"Muang Rayong",,
334,"Glow Unit 2",Coal,Operational,222,2010,Thailand,"Glow Energy Thailand",,,," ",Thailand,Rayong,"Muang Rayong",,
335,"Glow Unit 3",Coal,Operational,85,2010,Thailand,"Glow Energy Thailand",,,," ",Thailand,Rayong,"Muang Rayong",,
336,Gongguoqiao,Hydro,Operational,900,2011,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,"Dali Bai",,
337,"GPS Nakhon Sawan & Chai Nat Solar Plants",Solar,Operational,20,2012,Thailand,"ECGO and Gunkul Engineering Thailand",,,," ",Thailand,"Si Sa Ket","Phrai Bung",,
338,"Green Glory Wastewater Treatment",Waste,Unknown,1,,Thailand,"Green Glory Co Ltd.",,,Japan,"Marubeni Corporation",Thailand,"Surat Thani","Tha Chang",,
339,"Green Power 2 Power Plant",Biomass,Unknown,9.9,,Thailand,"Green Power Energy Co Ltd.; Advanced Power Conversion Co Ltd.",,,," ",Thailand,"Sa Kaeo","Muang Sa Kaeo",,
340,"Green to Energy Wastewater Project",Waste,Unknown,1.415,,Thailand,"Green to Energy Co Ltd subsidiary of Southern Palm Oil Industriy Co Ltd.",,,Japan,"Agritech Marketing Co Ltd.; NES Japan Co Ltd.",Thailand,"Surat Thani","Ban Na Doem",,
341,"Gridconnected Biomass Power Plant",Biomass,Operational,60,2010,Thailand,"Kaset Thai Bio Power Co"," Ltd.",,,," ",Thailand,"Nakhon Sawan",,
342,"Gridconnected Electricity Generation from Biomass at Advance Biopower",Biomass,Unknown,9.5,2011,"Thailand; Denmark","Advance Biopower Co"," Ltd."," Danish Ministry of Climate and Energy",,,," ",Thailand,,
343,"Gridconnected Electricity Generation from Biomass at Buayai Biopower",Biomass,Unknown,7.5,2012,"Thailand; Denmark","Buayai Biopower Co"," Ltd."," Danish Ministry of Climate and Energy",,,," ",Thailand,,
344,"GridParity Rooftop Solar Project",Solar,"Under Construction",100,2020,,,ADB,ADB,," ",Thailand,"Nakhon Sawan","Phayuha Khiri",,
345,"Gulf Chana Green Biomass Power Plant",Biomass,Unknown,25,,Thailand,"Gulf Chana Green Co Ltd. Gulf Energy Development",ADB,ADB,," ",Thailand,Songkhla,Chana,,
346,"Gulf Sriracha Power Plant GSRC",Gas,"Under Construction",2650,2021,"Thailand; Japan","Gulf Energy Development"," Mitsui","Thailand; Japan; ADB; China",JBIC," Bangkok Bank"," Bank of Ayudhya"," CIMB Thai Bank"," Sumitomo Mitsui Trust Bank","Chon Buri","Si Racha"
347,"Gulf Tasit 3 GTS3",Gas,Operational,129.9,2017,Thailand,"Gulf Energy Development",,,," ",Thailand,Rayong,"Pluak Daeng",,
348,"Gunkul Huaibong Wind Farm",Wind,"Under Construction",60,,Thailand,"Gunkul Engineering Thailand",,,," ",Thailand,"Nakhon Ratchasima","Dan Khun Thot",,
349,Guonian,Hydro,Cancelled,1000,,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,"Deqen Tibetan",,
350,Gushui,Hydro,Planned,2600,,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,"Deqen Tibetan",,
351,"Gussing Biomass Plant",Biomass,Operational,1,2018,"Austria; Thailand","Gussing Renewable Energy Thailand; Siam Cement Group",,,,,Thailand,"Nakhon Sawan","Nong Bua",,
352,Guxue,Hydro,Planned,1700,,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Xizang,Chamdo,,
353,"Ha Song Pha 1",Hydro,Operational,5.4,2013,Vietnam,"Ha Song Hydropower JSC",,,," ",Vietnam,"Ninh Thuan","Ninh Son",,
354,"Ha Song Pha 2",Hydro,Operational,5.1,2015,Vietnam,"Ha Song Hydropower JSC",,,," ",Vietnam,"Ninh Thuan","Ninh Son",,
355,"Hacom Solar",Solar,Operational,50,2019,Vietnam,"Hacom Energy Co Ltd.",,,"Vietnam; Japan","Hawee IDC"," Sharp Solar Solution",Vietnam,"Ninh Thuan",,
356,"Hai Duong Nha may Nhiet dien Hai Duong BOT",Coal,Operational,1200,2020,"China; Malaysia","China Power Engineering Consulting Group 70 PCT; China Power Engineering Consulting Group International Engineering Co"," Ltd.; JAKS",,,China,"China Power Engineering Consulting Group CPECC",Vietnam,"Hai Duong",,
357,"Hai Ha 1-4 Nhiet dien Đong phat Hai Ha 1-4",Coal,Planned,2100,2030,Vietnam,"Cong ty TNHH Khu cong nghiep Texhong Viet Nam",,,," ",Vietnam,"Quang Ninh","Hai Ha",,
358,"Hai Phong 1 Nha may Nhiet dien Hai Phong",Coal,Operational,600,2011,Vietnam,"Vietnam Electricity EVN"," Tap doan Đien luc Viet Nam Genco No 2","Japan; China","Japan Bank for International Cooperation Japan; China Exim Bank China $330 million;","China; Japan","Dongfang Electric China; Marubeni Japan",Vietnam,"Hai Phong",,
359,"Hai Phong 2 Nha may Nhiet dien Hai Phong",Coal,Operational,600,2013,Vietnam,"Vietnam Electricity EVN"," Tap doan Đien luc Viet Nam Genco No 2","Japan; China","Japan Bank for International Cooperation Japan; China Exim Bank China $330 million;","China; Japan","Dongfang Electric China; Marubeni Japan",Vietnam,"Hai Phong",,
360,"Hai Phong 3 Units 3-4 Nha may Nhiet dien Hai Phong"," to may 3-4",Coal,Cancelled,600,2028,Vietnam,"Vinacomin Vietnam Tap doan cong nghiep Than-Khoang san Viet Nam",,,," ",Vietnam,"Hai Phong",,
361,"Hai Phong 3"," Units 1-2 Nha may Nhiet dien Hai Phong"," to may 1-2",Coal,Planned,600,2028,Vietnam,"Vinacomin Vietnam Tap doan cong nghiep Than-Khoang san Viet Nam",,,," ",Vietnam,,
362,Hakha,Wind,Planned,72,,China,"China Three Gorges China",,,," ",Myanmar,Chin,Palam,,
363,"Hanbaram nha may Đien gio Hanbaram",Wind,Planned,117,2019,Singapore,"Cong ty Co phan Đien gio Hanbaram",,,," ",Vietnam,"Ninh Thuan","Phan Rang-Thap Cham",,
364,"Hang Dong A1",Hydro,Operational,8.4,2012,,"Xuan Thien Trading Construction Investment and Development Co",,,," ",Vietnam,"Son La","Bac Yen",,
365,"Hat Liu",Hydro,Operational,5,2014,,"Yen Bai Electricity Investment and Developmet JSC.FDI",,,," ",Vietnam,"Yen Bai","Tram Tau",,
366,"Hat Yai Solar Power Plant",Solar,Operational,1,,Thailand,"Thai Solar Energy Public Company Limited TSE Thailand",,,," ",Thailand,Songkhla,"Hat Yai",,
367,"HCG & HTG Đien mat troi HCG va HTG",Solar,Operational,100,2019,Vietnam,"Cong ty TNHH Quan Ly Va Đau Tu Tin Thac Hoang Thai Gia Vietnam"," cong ty co phan dien mat troi HCG Tay Ninh Vietnam","Singapore; Vietnam","Reonyuan Power Singapore; Singapore; cong ty co phan Hai Đang Vietnam",Vietnam,"Cong ty Vinasolar Vietnam",Vietnam,"Tay Ninh",,
368,"He Kou",Hydro,Planned,138,,China,"China Southern Power Grid Yunnan International Co China",,,," ",Myanmar,Shan,Mongphat,,
369,Hemaraj,Gas,"Under Construction",2500,,"Thailand; Japan","GulfSRC owned byGEDThai","Mitsui CoJapan","Thailand; ADB; Japan","JBIC; ADB; Thai EX-IM",," ",Thailand,"Ubon Ratchathani",,
370,"Hengtong Optic Solar Farm",Solar,Planned,200,,"China; Cambodia","Hengtong Optic-Electric China"," Inner Renewable Energy Cambodia Cambodia",,,China,"Hengtong group China",Cambodia,"Svay Rieng",,
371,"Hiep Phuoc",Oil,Operational,375,,,,,,," ",Vietnam,"Ho Chi Minh","Nha Be",,
372,Hkankawn,Hydro,Planned,140,,"China; Myanmar","Yunnan Energy Investment Group China"," International Group of Entrepreneurs Myanmar",,,China,"Yunnan Energy Investment Group China"," International Group of Entrepreneurs Myanmar",Myanmar,,
373,Hlawga,Gas,Operational,154.2,1999,Myanmar,"MEPE Myanmar",,,," ",Myanmar,Yangon,Yangon-N,,
374,"Hlawga Myanmar Central Power",Gas,Operational,50,2013,Myanmar,"Myanmar Central Power Co"," Ltd Myanmar",,,," ",Myanmar,Yangon,,
375,Hmawbi,Gas,Planned,140,,,,,,," ",Myanmar,Yangon,Yangon-E,,
376,"Ho Bon",Hydro,Operational,18,2012,,"Forth Lake Hydropower JSC",,,," ",Vietnam,"Yen Bai","Mu Cang Chai",,
377,"Ho Ho",Hydro,Operational,14,2010,,"Nothern 1 Electricity Investment and Development JSC",,,," ",Vietnam,"Quang Binh","Tuyen Hoa",,
378,"Ho Nui Coc",Hydro,Operational,1.89,2009,Vietnam,"Nui Coc Lake Hydropower JSC.",,,," ",Vietnam,"Thai Nguyen","Thai Nguyen",,
379,"Hoa An Solar Park",Solar,"Under Construction",40,2020,China,"JinkoSolar Holding China",,,China,"Jinko Solar China",Vietnam,"Hau Giang","Phung Hiep",,
380,"Hoa Binh Nha may Thuy dien Hoa Binh",Hydro,Operational,1920,1994,Vietnam,EVN,,,Vietnam,"Song Da Construction",Vietnam,"Hoa Binh","Hoa Binh",,
381,"Hoa Binh 5 Wind Power Project",Wind,Planned,80,2021,Vietnam,"Bac Lieu Hacom Energy JSC",Vietnam,"Bac Lieu Hacom Energy JSC",,,Vietnam,"Bac Lieu","Hoa Binh",,
382,"Hoa Dau Long Son Nhiet dien Hoa dau Long Son",Coal,"Under Construction",225,2023,Vietnam,"Hoa Dau Long Son Limited Company Vietnam Cong ty TNHH Hoa dau Long Son LSP",Vietnam,"Vina SCG Chemicals Company Limited; PVN",," ",Vietnam,"Ba Ria - Vung Tau","Vung Tau",,
383,"Hoa Hoi Nha may dien mat troi Hoa Hoi",Solar,Operational,214,2019,"Vietnam; Thailand","Cong ty CP TTP Phu Yen -  a JV between B Grimm Power Public CL Thailand and CTCP TĐ Truong Thanh Viet Nam",,,," ",Vietnam,"Phu Yen","Phu Hoa",,
384,"Hoa Phu",Hydro,Operational,29,2014,Vietnam,"Tam Long Hydro Power JSC.",,,," ",Vietnam,"Đak Lak","Buon Ma Thuot",,
385,"Hoa Thang 3.2 Đien mat troi Hoa Thang",Solar,Planned,50,2020,Vietnam,"Cong ty TNHH Solar Binh Thuan Vietnam CONG TY TNHH ĐIEN MAT TROI VNECO - HOA THANG Vietnam Cong Ty Cp Hoa Thang Jsc Vietnam",,,," ",Vietnam,"Khanh Hoa","Ninh Hoa",,
386,"Hoi Xuan",Hydro,Operational,102,2019,Vietnam,"Dong Mekong Vietnam"," VNECO Hoi Xuan Investment and Electricity Construction Joint Stock Company VNECO Hoi Xuan Vietnam","USA; Japan","Goldman Sachs $115 million invstment USA; Tokyo-Mitsubishi Japan; MIGA guarantees",China,"Chongqing Minmetals and Machinery  CMMC China",Vietnam,"Thanh Hoa",,
387,"Hong Phong 1 & 2 Nha may dien mat troi Hong Phong",Solar,Operational,320,2019,Vietnam,"Cong cong ty dien mat troi GP SOLAR",,,," ",Vietnam,"Binh Thuan","Bac Binh",,
388,"Hong Phong 4 Nha may dien mat troi Hong Phong 4",Solar,"Under Construction",48,2020,,,,,," ",Vietnam,"Binh Thuan","Bac Binh",,
389,"Hongsa Power Plant 1-3",Coal,Operational,1878,2015,"Thailand; Laos","Banpu 40 PCT"," Ratchaburi 40 PCT"," LHSE 20 PCT",,,," ",Laos,,
390,"Houay Avien",Hydro,Planned,3,,"South Korea","EDL Laos"," Korea Corporation Korea",,,," ",Laos,Xekong,,
391,"Houay Champi Oudomsouk",Hydro,Planned,5,,Laos,"Daoheuang Laos",,,," ",Laos,Champasak,Pathoomphone,,
392,"Houay Dak kan",Hydro,Planned,5,,,,,,," ",Laos,Saravan,Saravane,,
393,"Houay Gnoy-Koy",Hydro,"Under Construction",11.2,,,,,,," ",Laos,Champasak,Pathoomphone,,
394,"Houay Het",Hydro,Planned,5,,Laos,"Chleun Construction Co Laos",,,," ",Laos,Xekong,Lamarm,,
395,"Houay Ho",Hydro,Operational,152,1999,"Thailand; Laos","Glow Energy 67.25 PCT Thailand"," Electricite du Laos 20 PCT Laos"," and Hemaraj Land & Development 12.75 PCT Thailand",,,"South Korea","Daewoo South Korea",Laos,,
396,"Houay Palai Downstream",Hydro,"Under Construction",3,,,,,,," ",Laos,Champasak,Pathoomphone,,
397,"Houay Phouang",Hydro,Planned,5,,,,,,Laos,"Hongkham Construction Co Laos",Laos,Xekong,Lamarm,,
398,"Houay Por",Hydro,Planned,15,,Laos,"Houay Por Power Co Ltd. Laos",,,," ",Laos,Saravan,Saravane,,
399,"Houay Samong",Hydro,Operational,1.7,,,,,,," ",Laos,Xekong,Lamarm,,
400,Hpa-an,Coal,Cancelled,1280,,"Thailand; Japan; Myanmar","Toyo-Thai Italian-Thai Development Thailand"," Toyo Engineering Japan",,,," ",Myanmar,Kayin,,
401,"Hpizaw Pisa",Hydro,Postponed,2400,,China,"State Power Investment Corporation China",,,China,"China Power Investment Corporation CPI China",Myanmar,Kachin,Putao,,
402,Hsohsa,Wind,Planned,220,,Thailand,"Gunkul Public Engineering Co Thailand",,,," ",Myanmar,Shan,Taunggye,,
403,"Htamathi Tamanthi",Hydro,Cancelled,1200,,Myanmar,"Ministry of Electricity & Energy",,,India,"National Hydroelectric Power Corp",Myanmar,Sagaing,Hkamti,,
404,Htantabin,Coal,Cancelled,270,,"China; Myanmar","Huaneng Lancangjiang Hydroppower Co China"," Htoo Trading Co Myanmar",,,," ",Myanmar,Yangon,,
405,Htoneshinchaung,Hydro,Planned,340,,China,"Yunnan Investment Group",,,Myanmar,"International Group of Entrepreneur IGE",Myanmar,Kachin,Putao,,
406,"Hua Na",Hydro,Operational,180,2013,Vietnam,"Hua Na HPP JSC PVN",,,Vietnam,"Viet Nam Machinery Installation Corp. Lilama",Vietnam,"Nghe An","Que Phong",,
407,"Huai Kui Mang Dam",Hydro,Operational,0.1,1984,Thailand,"EGAT Thailand",,,," ",Thailand,"Prachuap Khiri Khan","Muang Prachuap Khiri Khan",,
408,"Huai Kum Dam",Hydro,Operational,1.06,1978,Thailand,"EGAT Thailand",,,," ",Thailand,Chaiyaphum,"Kaset Sombon",,
409,Huangdeng,Hydro,Operational,1900,2019,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,"Nujiang Lisu",,
410,"Huay Bong Wind Farm",Wind,Operational,207,2012,Thailand,"Wind Energy Holding Co",Thailand,"Kasikorn Bank"," Siam Commercial Bank"," TISCO Bank"," ICBC",,,,
411,"Huay Champi Patung",Hydro,Planned,5,,Laos,"Electricity Management Company Laos",,,," ",Laos,Champasak,Paksong,,
412,"Huay Dak Tam",Hydro,Planned,11,,Laos,"BSS Company",,,," ",Laos,Xekong,Lamarm,,
413,"Huay Jaliu 1",Hydro,Planned,10,,Thailand,"Charoen Construction Company",,,," ",Laos,Xekong,Lamarm,,
414,"Huay Jaliu 2",Hydro,Planned,5,,Thailand,"Charoen Construction Company",,,," ",Laos,Xekong,Lamarm,,
415,"Huay Kachao Solar Power Plant",Solar,Operational,5,,Thailand,"Thai Solar Energy 1 TSE1 Thailand",,,," ",Thailand,Kanchanaburi,"Huai Kra Chao",,
416,"Huay Kalabai 1",Hydro,Planned,4.5,,Thailand,"Juntaoaom Construction and Transport Thailand",,,," ",Laos,Xekong,Lamarm,,
417,"Huay Kalabai 2",Hydro,Planned,12,,Thailand,"Juntaoaom Construction and Transport Thailand",,,," ",Laos,Xekong,Lamarm,,
418,"Huay Kalabai 3",Hydro,Planned,14,,Thailand,"Juntaoaom Construction and Transport Thailand",,,," ",Laos,Xekong,Lamarm,,
419,"Huay Mi",Hydro,Planned,12,,Thailand,"Charoen Tamsang Company",,,," ",Laos,Xekong,Lamarm,,
420,"Huay Ngae",Hydro,Planned,5,,Laos,"BSS Company",,,," ",Laos,Xekong,Lamarm,,
421,"Huay Pad Torn Lum",Hydro,Planned,5,,Laos,"Patana Salumroblarm Lao Laos",,,," ",Laos,Xekong,Lamarm,,
422,"Huay Pahae",Hydro,Planned,13,,Thailand,"Charoen Construction Company",,,," ",Laos,Xekong,Lamarm,,
423,"Huay Palai",Hydro,Planned,26,,,,,,," ",Laos,Champasak,Bachiangchaleunsook,,
424,"Huay Palod 1",Hydro,Planned,5,,Thailand,"Samluang-Serdsaid Company Thailand",,,," ",Laos,Attapu,Xaysetha,,
425,"Huay Palod 2",Hydro,Planned,12,,Thailand,"Samluang-Serdsaid Company Thailand",,,," ",Laos,Attapu,Xaysetha,,
426,"Huay Payu",Hydro,Planned,5,,Laos,"Vientiane Automation Laos",,,," ",Laos,Xekong,Lamarm,,
427,"Huay Pok",Hydro,Planned,12,,Laos,"Hydro Lao Company Laos",,,," ",Laos,Attapu,Xaysetha,,
428,"Huay Pong",Hydro,Planned,13,,Thailand,"Hingtam Construction and Transport Ltd Thailand",,,," ",Laos,Xekong,Lamarm,,
429,"Huay Pong Torn Lum",Hydro,Planned,15,,Laos,"Energy Engineering Company Laos",,,," ",Laos,Xekong,Lamarm,,
430,"Huay Rad",Hydro,Planned,5,,Thailand,"Charoen Tamsang Company",,,," ",Laos,Xekong,Lamarm,,
431,"Huay Tai",Hydro,Planned,5,,Thailand,"Punyaporn Development Company Thailand",,,," ",Laos,Xekong,Lamarm,,
432,"Huay Tapae",Hydro,Planned,5,,Thailand,"Jaitampang Concrete Company Thailand",,,," ",Laos,Champasak,Pathoomphone,,
433,"Huay Tapae 2",Hydro,Planned,5,,Laos,"Lao Industrial Electricity Company Ltd Laos",,,," ",Laos,Saravan,"Lao Ngarm",,
434,"Huay Tor Klot",Hydro,Planned,4,,Thailand,"Pasanlok Company Thailand",,,," ",Laos,Attapu,Xaysetha,,
435,"Huay Xaikong",Hydro,Planned,5,,Thailand,"Charoensab Company",,,," ",Laos,Bolikhamxai,Viengthong,,
436,"Huay Yerng",Hydro,Planned,6,,Thailand,"Tumtam Company Thailand",,,," ",Laos,Xekong,Lamarm,,
437,"Huaybangsong Tornlumpat 21",Hydro,Planned,21,,"Thailand; USA","MCM Construction USA"," Simlapatarn Company Ltd Thailand",,,," ",Laos,Champasak,,
438,Huaychampaudomsuk,Hydro,Planned,5,,Laos,"Dao Rueng Construction and Transport Infrastructure Company Laos"," STL Sakin Company Laos",,,," ",Laos,Champasak,,
439,Huaychampi,Hydro,Planned,5,,Thailand,"Pasakorn Construction and Transport Company Thailand",,,," ",Laos,Champasak,Paksong,,
440,"Huaychampi-Hak 35",Hydro,"Under Construction",5,2017,Thailand,"Pasak Construction Thailand",,,," ",Laos,Champasak,Paksong,,
441,Huaychrod,Hydro,Planned,5,,Thailand,"Tamsom Electricity Dam Phuprong Company Ltd Thailand",,,," ",Laos,Champasak,Paksong,,
442,Huayhavieng,Hydro,Planned,5,,Thailand,"Chantasem Construcion"," Transport and Hydropower Company Company",,,," ",Laos,Saravan,,
443,Huaylai,Hydro,Planned,2,,USA,"P&P Construction and Transport Company Ltd USA",,,," ",Laos,Saravan,"Ta Oi",,
444,"Huaynamsai 1 Tadtalie",Hydro,Planned,13,,Thailand,"PCC Construction and Electricity Company Ltd Thailand",,,," ",Laos,Saravan,"Ta Oi",,
445,"Huaynamsai 2 Tangta",Hydro,Planned,11,,"South Korea","SDS Company Ltd South Korea",,,," ",Laos,Saravan,Saravane,,
446,Huaypakai,Hydro,Planned,23,,Laos,"Kuangtung Industrial Electrical Lao Laos",,,," ",Laos,Champasak,Pathoomphone,,
447,Huaysalai,Hydro,Planned,3,,Thailand,"P&P Construction and Transport Company Ltd Thailand",,,," ",Laos,Saravan,"Ta Oi",,
448,Huaysatung,Hydro,Planned,6.1,,Thailand,"P&P Construction and Transport Company Ltd Thailand",,,," ",Laos,Saravan,"Ta Oi",,
449,Huaytang-Lapchantayiksua,Hydro,Planned,12.5,,Thailand,"Pasakorn Construction Thailand",,,," ",Laos,Champasak,Paksong,,
450,"Huaytapae 1",Hydro,"Under Construction",5,2018,Laos,"Vientiane Automation Engineering Ltd Laos",,,," ",Laos,Saravan,"Lao Ngarm",,
451,Huayyoy-Huaytid,Hydro,"Under Construction",10,2017,Thailand,"Huayyoytadtid Thailand",,,," ",Laos,Champasak,Paksong,,
452,"Huoay Lamphan Gnai",Hydro,Operational,88,2015,Laos,"EDL Laos",,,China,"Gezhouba China EPC",Laos,Xekong,Thateng,,
453,"Huoay Lamphan Gnai downstream",Hydro,Operational,15,2017,Laos,"EDL Laos",,,China,"China Gezhouba Group Co China",Laos,Xekong,Thateng,,
454,"Huoi Quang Thuy dien Huoi Quang",Hydro,Operational,520,2015,Vietnam,"Vietnam Electricity EVN","Vietnam; France",EVN," AFD",Vietnam,"Infrastructure Development and Construction CorporationLICOGI Vietnam",Vietnam,"Lai Chau",,
455,"Huong Dien",Hydro,Operational,81,2010,Vietnam,"Huong Dien HPP JSC Vietnam",,,," ",Vietnam,"Thua Thien Hue","Phong Đien",,
456,"Huong Linh 1 Đien gio Huong Linh 1",Wind,Operational,30,2017,,,,,," ",Vietnam,"Quang Tri","Huong Hoa",,
457,"Huong Linh 2 Đien gio Huong Linh 2",Wind,Operational,30,2017,"Vietnam; Denmark","Tan Hoan Cau Joint Stock Corporation Vietnam"," Vestas Wind Systems Denmark",,,," ",Vietnam,"Quang Tri",,
458,"Huong Linh 3 Đien gio Huong Linh 3",Wind,Planned,30,2020,Vietnam,"Cong ty Co phan dien gio Huong Linh 3 SPV with equity by Cong ty Trach nhiem huu han Đien gio Huong Phung",,,," ",Vietnam,"Quang Tri","Huong Hoa",,
459,"Huong Phung 1 Đien gio Huong Phung 1",Wind,"Under Construction",30,2019,Vietnam,"EVNGENCO2 Vietnam",,,," ",Vietnam,"Quang Tri","Huong Hoa",,
460,"Huong Phung 2 Đien gio Huong Phung 2",Wind,Planned,20,2021,Vietnam,"EVNGENCO2 Vietnam",,,," ",Vietnam,"Quang Tri","Huong Hoa",,
461,"Huong Phung 3 Đien gio Huong Phung 3",Wind,Planned,30,2021,Vietnam,"EVNGENCO2 Vietnam",,,," ",Vietnam,"Quang Tri","Huong Hoa",,
462,"Huong Son",Hydro,Operational,33,2012,Vietnam,"Huong Son Hydropower JSC",,,," ",Vietnam,"Ha Tinh","Huong Son",,
463,"Huong Tan Đien gio Huong Tan",Wind,Unknown,48,,Vietnam,"Cong ty CP Đau tu xay dung va thuong mai Phu Đien Vietnam",,,," ",Vietnam,"Quang Tri","Huong Hoa",,
464,"Hutgyi Hatgyi",Hydro,Planned,1360,,"Thailand; China",EGAT," Synohydro International","China; Thailand","China and Thai banks",China,"Power Construction Corp"," China",Myanmar,,
465,"Ham Thuan – Đa Mi Hydroelectric power stations",Hydro,Operational,300,2001,Vietnam,EVN," Da Nhim - Ham Thuan Da Mi Hydropower Comapny",Japan,JICA,Vietnam,"Construction Corporation No 1 JSC",Vietnam,"Binh Thuan",,
466,"Ia Drang 2",Hydro,Operational,1.2,,Vietnam,"Gia Lai Electricity JSC.",,,," ",Vietnam,"Gia Lai","Chu Prong",,
467,"Ia Grai 1",Hydro,Operational,10.8,2012,Vietnam,"Quoc Cuong Gia Lai JSC",,,," ",Vietnam,"Gia Lai","Ia Grai",,
468,"Ia Grai 2",Hydro,Operational,7.5,2014,Vietnam,"Quoc Cuong Gia Lai JSC",,,," ",Vietnam,"Gia Lai","Ia Grai",,
469,"Ia Grai 3",Hydro,Operational,7.5,2007,Vietnam,"Song Da 4 JSC.",,,," ",Vietnam,"Gia Lai","Ia Grai",,
470,"Ia Lop Đien mat troi Ia Lop 1",Solar,Planned,50,2020,Vietnam,"Cong ty TNHH Long Thanh IA Lop Vietnam",,,," ",Vietnam,"Đak Lak","Ea Sup",,
471,"Ia Pech 1",Wind,Planned,50,2021,"Thailand; Vietnam","Gulf International Holding Pte"," Dien Xanh Gia Lai Investment Energy JSC",,,,,Vietnam,"Gia Lai",,
472,"Ia Pech 2",Wind,Planned,50,2021,"Thailand; Vietnam","Gulf International Holding Pte"," Dien Xanh Gia Lai Investment Energy JSC",,,,,Vietnam,"Gia Lai",,
473,"IFEC Bo Phloy Solar Plants",Solar,"Under Construction",10,,Thailand,"IFEC Thailand",,,Thailand,"IFEC Green Power Plus Ltd Thailand",Thailand,Kanchanaburi,"Bo Phloi",,
474,"Infra Capital Asia Wind Power",Wind,Planned,263,,"Myanmar; Singapore","Infra Capital Myanmar-ReEx Myanmar"," of Infra Capital Asia Development Pte Ltd. Singapore",,,," ",Myanmar,Magway,,
475,Ingapur,Wind,Planned,120,,China,"China Three Gorges China",,,," ",Myanmar,Ayeyarwady,Hinthada,,
476,"Inn Din / Ann Din",Coal,Planned,1280,,"Thailand; Japan","Toyo-Thai Italian-Thai Development Thailand"," Toyo Engineering Japan",,,," ",Myanmar,Mon,,
477,"Isariyakul Biomass Power Plant",Biomass,Unknown,8.9,2010,Thailand,"Isariyakul Biomass Power Co"," Ltd.",Singapore,"EPURON & GE/RETA",Thailand,"ATT Consultants Co Ltd.",Thailand,Phayao,,
478,"Jakkakhuei Power Plant",Biomass,Operational,5,2013,Vietnam,"Hoang Anh Gia Lai Mitlao Sugar Factory Vietnam",Vietnam,"Bank for Investment and Development of Vietnam Vietnam",," ",Thailand,Mukdahan,"Dong Luang",,
